Reference #,Date,Artist,Touring/Local
2,3/16/18,Band322,Touring Act
811,3/18/18,Band466,Touring Act
761,3/20/18,Band315,Touring Act
4,3/21/18,Band170,Touring Act
1086,3/22/18,Band184,Touring Act
480,3/23/18,Band148,Touring Act
1147,3/24/18,Band449,Touring Act
414,3/24/18,Band450,Touring Act
50,4/2/18,Band447,Touring Act
874,4/3/18,Band188,Touring Act
543,4/5/18,Band383,Touring Act
620,4/7/18,Band80,Touring Act
666,4/9/18,Band8,Touring Act
1002,4/11/18,Band178,Touring Act
338,4/11/18,Band456,Touring Act
747,4/12/18,Band427,Touring Act
1011,4/17/18,Band454,Touring Act
239,4/18/18,Band413,Touring Act
90,4/19/18,Band155,Touring Act
467,4/21/18,Band379,Touring Act
475,4/22/18,Band399,Touring Act
140,4/26/18,Band380,Touring Act
582,4/27/18,Band359,Touring Act
,4/28/18,Band74,Touring Act
425,4/29/18,Band4,Touring Act
656,5/1/18,Band250,Touring Act
9,5/1/18,Band348,Touring Act
929,5/5/18,Band18,Touring Act
937,5/7/18,Band174,Touring Act
932,5/9/18,Band439,Touring Act
33,5/11/18,Band267,Touring Act
793,5/13/18,Band214,Touring Act
317,5/15/18,Band217,Touring Act
14,5/20/18,Band162,Touring Act
484,5/24/18,Band341,Touring Act
1041,5/25/18,Band353,Touring Act
682,6/3/18,Band314,Touring Act
335,6/7/18,Band118,Touring Act
1106,6/8/18,Band48,Touring Act
355,6/15/18,Band443,Touring Act
927,6/17/18,Band169,Touring Act
1136,6/19/18,Band87,Touring Act
457,6/23/18,Band426,Touring Act
186,6/27/18,Band49,Touring Act
751,6/29/18,Band281,Touring Act
1094,7/8/18,Band60,Touring Act
494,7/11/18,Band111,Touring Act
182,7/15/18,Band340,Touring Act
769,7/17/18,Band402,Touring Act
714,7/20/18,Band81,Touring Act
377,7/22/18,Band418,Touring Act
667,7/24/18,Band129,Touring Act
555,7/27/18,Band288,Touring Act
499,7/28/18,Band387,Touring Act
221,7/29/18,Band421,Touring Act
162,7/31/18,Band166,Touring Act
696,8/3/18,Band448,Local
482,8/19/18,Band373,Touring Act
1102,8/23/18,Band132,Touring Act
613,8/24/18,Band422,Touring Act
670,8/25/18,Band365,Touring Act
566,8/26/18,Band122,Touring Act
870,8/27/18,Band273,Touring Act
1083,8/29/18,Band198,Touring Act
270,8/31/18,Band420,Touring Act
1066,9/2/18,Band260,Touring Act
459,9/3/18,Band396,Touring Act
760,9/6/18,Band460,Touring Act
774,9/7/18,Band138,Touring Act
455,9/9/18,Band254,Touring Act
554,9/19/18,Band322,Touring Act
1107,9/20/18,Band298,Touring Act
1004,9/21/18,Band303,Touring Act
51,9/22/18,Band62,Touring Act
,9/26/18,Band29,Touring Act
928,9/28/18,Band347,Touring Act
1089,9/30/18,Band293,Touring Act
181,10/3/18,Band193,Touring Act
794,10/6/18,Band431,Local
71,10/10/18,Band99,Touring Act
559,10/11/18,Band277,Touring Act
315,10/12/18,Band283,Touring Act
532,10/14/18,Band264,Touring Act
1049,10/17/18,Band85,Touring Act
640,10/19/18,Band446,Touring Act
61,10/20/18,Band126,Touring Act
1100,10/23/18,Band433,Touring Act
850,10/24/18,Band23,Touring Act
400,10/26/18,Band75,Touring Act
677,10/27/18,Band385,Touring Act
97,10/27/18,Band435,Touring Act
354,11/1/18,Band450,Touring Act
479,11/3/18,Band391,Touring Act
683,11/4/18,Band316,Touring Act
360,11/6/18,Band376,Local
389,11/8/18,Band251,Touring Act
764,11/9/18,Band247,Touring Act
1110,11/10/18,Band197,Touring Act
709,11/14/18,Band1,Touring Act
243,11/16/18,Band474,Touring Act
369,11/17/18,Band349,Touring Act
933,11/18/18,Band453,Touring Act
728,11/21/18,Band248,Touring Act
405,11/23/18,Band294,Touring Act
847,11/24/18,Band473,Touring Act
799,11/30/18,Band271,Touring Act
746,12/4/18,Band461,Touring Act
757,12/5/18,Band140,Touring Act
1123,12/6/18,Band76,Touring Act
1065,12/8/18,Band308,Local
562,12/11/18,Band84,Touring Act
597,12/14/18,Band470,Local
267,12/22/18,Band13,Local
230,12/26/18,Band230,Local
119,12/28/18,Band47,Touring Act
654,12/30/18,Band117,Touring Act
729,12/31/18,Band295,Local
536,1/14/19,Band204,Touring Act
428,1/25/19,Band414,Touring Act
98,1/26/19,Band14,Touring Act
1146,1/27/19,Band20,Touring Act
508,1/30/19,Band422,Touring Act
32,2/1/19,Band244,Touring Act
271,2/6/19,Band212,Touring Act
767,2/8/19,Band158,Local
551,2/15/19,Band262,Touring Act
167,2/16/19,Band472,Touring Act
436,2/19/19,Band106,Touring Act
372,2/21/19,Band222,Touring Act
305,2/24/19,Band272,Touring Act
111,2/26/19,Band291,Touring Act
635,2/28/19,Band346,Touring Act
208,3/1/19,Band44,Touring Act
55,3/6/19,Band79,Touring Act
840,3/8/19,Band238,Local
931,3/9/19,Band361,Touring Act
922,3/10/19,Band16,Touring Act
135,3/15/19,Band80,Touring Act
1028,3/22/19,Band366,Local
550,3/23/19,Band190,Touring Act
820,3/24/19,Band17,Touring Act
264,3/30/19,Band261,Local
825,4/2/19,Band437,Touring Act
,4/3/19,Band437,Touring Act
697,4/6/19,Band337,Touring Act
1070,4/7/19,Band105,Touring Act
218,4/12/19,Band370,Touring Act
11,4/12/19,Band371,Touring Act
188,4/17/19,Band419,Touring Act
215,4/18/19,Band390,Touring Act
534,4/19/19,Band297,Touring Act
1051,4/24/19,Band462,Touring Act
122,4/27/19,Band197,Local
1091,4/30/19,Band151,Touring Act
444,5/1/19,Band148,Touring Act
906,5/2/19,Band177,Touring Act
478,5/3/19,Band409,Touring Act
588,5/4/19,Band202,Touring Act
415,5/8/19,Band471,Touring Act
864,5/9/19,Band312,Touring Act
1038,5/11/19,Band40,Touring Act
660,5/14/19,Band389,Touring Act
59,5/16/19,Band179,Touring Act
451,5/17/19,Band134,Touring Act
231,5/19/19,Band377,Touring Act
599,5/21/19,Band176,Touring Act
304,5/23/19,Band360,Touring Act
124,5/24/19,Band276,Touring Act
,5/31/19,Band394,Local
1007,6/2/19,Band3,Touring Act
65,6/4/19,Band285,Touring Act
740,6/7/19,Band259,Touring Act
515,6/14/19,Band395,Touring Act
619,6/21/19,Band335,Touring Act
1050,6/23/19,Band72,Touring Act
106,6/27/19,Band97,Touring Act
848,6/30/19,Band354,Touring Act
265,7/12/19,Band280,Touring Act
1150,7/18/19,Band81,Touring Act
705,7/18/19,Band191,Touring Act
643,7/19/19,Band375,Touring Act
756,8/16/19,Band388,Touring Act
423,8/27/19,Band301,Touring Act
1114,8/28/19,Band417,Touring Act
,9/6/19,Band378,Touring Act
,9/8/19,Band61,Touring Act
,9/12/19,Band374,Touring Act
1069,9/13/19,Band357,Touring Act
10,9/15/19,Band56,Touring Act
,9/17/19,Band408,Touring Act
390,9/19/19,Band382,Touring Act
,9/21/19,Band65,Touring Act
429,9/22/19,Band432,Touring Act
,9/26/19,Band340,Touring Act
,9/29/19,Band416,Touring Act
,9/30/19,Band150,Touring Act
,10/3/19,Band457,Touring Act
,10/4/19,Band355,Touring Act
,10/6/19,Band216,Touring Act
854,10/7/19,Band384,Local
772,10/8/19,Band459,Touring Act
,10/11/19,Band455,Touring Act
849,10/12/19,Band243,Touring Act
,10/13/19,Band363,Touring Act
,10/18/19,Band1,Touring Act
292,10/25/19,Band156,Touring Act
145,10/26/19,Band133,Touring Act
,11/1/19,Band345,Touring Act
,11/2/19,Band376,Local
,11/3/19,Band289,Touring Act
,11/8/19,Band224,Touring Act
,11/9/19,Band405,Touring Act
,11/12/19,Band442,Touring Act
,11/16/19,Band77,Touring Act
,11/17/19,Band469,Touring Act
,11/20/19,Band144,Touring Act
1095,11/21/19,Band364,Touring Act
,11/22/19,Band88,Touring Act
,11/23/19,Band135,Touring Act
89,11/24/19,Band269,Touring Act
,12/4/19,Band21,Touring Act
553,12/5/19,Band25,Touring Act
472,12/5/19,Band309,Touring Act
413,12/13/19,Band372,Touring Act
,12/15/19,Band434,Touring Act
1054,12/20/19,Band127,Touring Act
84,1/8/20,Band31,Touring Act
,1/11/20,Band252,Touring Act
222,1/16/20,Band220,Touring Act
1131,1/16/20,Band268,Touring Act
,1/17/20,Band70,Touring Act
,1/21/20,Band54,Touring Act
,1/28/20,Band153,Touring Act
,1/30/20,Band302,Touring Act
43,2/1/20,Band241,Touring Act
,2/5/20,Band10,Touring Act
,2/7/20,Band192,Touring Act
1040,2/8/20,Band59,Touring Act
,2/11/20,Band458,Touring Act
567,2/14/20,Band154,Touring Act
1016,2/14/20,Band368,Touring Act
1126,2/16/20,Band104,Touring Act
1033,2/19/20,Band163,Touring Act
,2/20/20,Band304,Touring Act
,2/21/20,Band335,Touring Act
,2/22/20,Band95,Touring Act
,2/29/20,Band299,Touring Act
695,3/5/20,Band139,Touring Act
1148,3/5/20,Band235,Touring Act
1130,,,
1162,,,
27,,,
1108,,,
1149,,,
680,,,
1153,,,
671,,,
447,,,
,,,
,,,
,,,
,,,
1169,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
46,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
212,,,
,,,
28,,,
,,,
,,,
,,,
,,,
538,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
804,,,
718,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
621,,,
261,,,
579,,,
347,,,
92,,,
1045,,,
138,,,
82,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
1164,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
