Date,Artists,Day,Showtime,Genre,Returning Act
10/13/17,Band157,Fri,9:00:00 PM,indie,
10/17/17,Band15,Tue,8:00:00 PM,indie,
10/19/17,Band96,Thu,8:00:00 PM,R&B/Soul,
10/20/17,Band11,Fri,8:00:00 PM,Folk,
10/21/17,Band228,Sat,9:00:00 PM,hip hop,
10/22/17,Band39,Sun,8:00:00 PM,Indie,
10/24/17,Band436,Tue,8:30:00 PM,Indie,
10/26/17,Band323,Thu,9:00:00 PM,Roots/Rock,x
10/28/17,Band366,Sat,9:00:00 PM,Roots/Rock,x
10/29/17,Band300,Sun,7:00:00 PM,Metal,
11/1/17,Band180,Wed,6:30:00 PM,Comedy,
11/1/17,Band194,Wed,6:30:00 PM,,
11/2/17,Band350,Thu,8:00:00 PM,Roots/Rock,
11/3/17,Band58,Fri,8:00:00 PM,Indie,x
11/4/17,Band64,Sat,9:00:00 PM,Metal,
11/5/17,Band362,Sun,8:00:00 PM,hip hop,
11/7/17,Band427,Tue,8:00:00 PM,Americana,x
11/9/17,Band10,Thu,8:00:00 PM,Punk,x
11/10/17,Band36,Fri,9:00:00 PM,hip hop,
11/11/17,Band265,Sat,9:00:00 PM,Electronic,
11/12/17,Band245,Sun,8:00:00 PM,Americana,x
11/12/17,Band245,Sun,8:00:00 PM,Americana,x
11/13/17,Band119,Mon,8:00:00 PM,hip hop,x
11/17/17,Band215,Fri,9:00:00 PM,R&B/Soul,
11/18/17,Band66,Sat,9:00:00 PM,Indie,
11/19/17,Band393,Sun,8:00:00 PM,indie,
11/30/17,Band397,Thu,8:30:00 PM,Indie,
12/2/17,Band317,Sat,8:30:00 PM,hip hop,
12/3/17,Band83,Sun,8:00:00 PM,Electronic,
12/6/17,Band320,Wed,8:00:00 PM,Americana,
12/13/17,Band89,Wed,7:30:00 PM,Punk,
12/22/17,Band392,Fri,9:00:00 PM,hip hop,x
12/23/17,Band431,Sat,8:30:00 PM,Roots/Rock,x
1/5/18,Band231,Fri,9:00:00 PM,Americana,
1/12/18,Band266,Fri,9:00:00 PM,hip hop,
1/19/18,Band422,Fri,9:00:00 PM,Americana,x
1/20/18,Band222,Sat,8:00:00 PM,World,x
1/24/18,Band131,Wed,8:00:00 PM,hip hop,
2/9/18,Band200,Fri,9:00:00 PM,Electronic,
2/11/18,Band343,Sun,8:00:00 PM,Indie,
2/15/18,Band42,Thu,8:00:00 PM,World,
2/16/18,Band152,Fri,7:30:00 PM,Indie,
2/16/18,Band212,Fri,7:30:00 PM,,x
2/22/18,Band115,Thu,8:00:00 PM,Americana,x
2/26/18,Band34,Mon,8:00:00 PM,Americana,
2/28/18,Band92,Wed,8:00:00 PM,Americana,x
3/2/18,Band123,Fri,9:00:00 PM,Americana,
3/3/18,Band78,Sat,8:00:00 PM,Indie,
3/7/18,Band428,Wed,8:00:00 PM,Indie,
3/9/18,Band6,Fri,8:00:00 PM,Indie,
3/9/18,Band286,Fri,8:00:00 PM,Indie,
3/10/18,Band366,Sat,9:00:00 PM,Roots/Rock,x
3/15/18,Band249,Thu,9:00:00 PM,Metal,
3/16/18,Band322,Fri,8:00:00 PM,Americana,x
3/18/18,Band466,Sun,8:00:00 PM,Americana,
3/20/18,Band315,Tue,8:00:00 PM,indie,
3/21/18,Band170,Wed,8:00:00 PM,indie,
3/22/18,Band184,Thu,8:00:00 PM,Indie,
3/23/18,Band148,Fri,9:00:00 PM,Roots/Rock,x
3/24/18,Band449,Sat,7:30:00 PM,indie,
3/24/18,Band450,Sat,7:30:00 PM,indie,x
4/2/18,Band447,Mon,8:00:00 PM,indie,
